Lycopodiophyta, Плауновидные, Lycopodiaceae, Плауновые, Lycopodiella inundata (L.) Holub , Плаунок топяной
Lycopodiophyta, Плауновидные, Lycopodiaceae, Плауновые, Lycopodium annotinum L., Плаун годичный
Lycopodiophyta, Плауновидные, Lycopodiaceae, Плауновые, Lycopodium clavatum L., Плаун булавовидный
Lycopodiophyta, Плауновидные, Lycopodiaceae, Плауновые, Lycopodium complanatum L., Плаун сплюснутый
Polypodiophyta, Папоротниковидные, Onocleaceae, Оноклеевые, Matteuccia strutiopteris (L.) Tod, Страусник обыкновенный
Polypodiophyta, Папоротниковидные, Ophioglossaceae, Ужовниковые, Botrychium lunaria (L.) Sw., Гроздовник полулунный
Polypodiophyta, Папоротниковидные, Ophioglossaceae, Ужовниковые, Botrychium multifidum (S.G. Gmel.) Rupr., Гроздовник многораздельный
Polypodiophyta, Папоротниковидные, Ophioglossaceae, Ужовниковые, Botrychium virginianum (L.) Sw., Гроздовник виргинский
Polypodiophyta, Папоротниковидные, Ophioglossaceae, Ужовниковые, Ophioglossum vulgatum L., Ужовник обыкновенный
Polypodiophyta, Папоротниковидные, Polypodiaceae, Многоножковые, Polypodium vulgare L., Многоножка обыкновенная
Gnetophyta, Гнетовидные, Ephedraceae, Эфедровые, Ephedra distachya L., Эфедра двухколосковая
Pinophyta, Голосеменные, Cupressaceae, Кипарисовые, Juniperus communis L., Можжевельник обыкновенный
Pinophyta, Голосеменные, Pinaceae, Сосновые, Pinus fominii Kondr. subsp. cretacea (Kalenicz.) L. Orlova, Сосна меловая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Umbelliferae, Зонтичные, Elaeosticta lutea, Элеостикта желтая
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Umbelliferae, Зонтичные, Eriosynaphe longifolia (Fish. ex Spreng.) DC, Пушистоспайник длиннолистный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Umbelliferae, Зонтичные, Ferula caspica Bieb., Ферула каспийская
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Umbelliferae, Зонтичные, Ferula tatarica Fisch. ex Spreng., Ферула татарская
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Umbelliferae, Зонтичные, Ferulago galbanifera (Mill.) W.D.J. Koch, Ферульник смолоносный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Umbelliferae, Зонтичные, Laser trilobum (L.) Borkh., Лазурник трехлопастный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Umbelliferae, Зонтичные, Macroselinum latifolium (Bieb.) Schur, Макроселинум широколистный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Umbelliferae, Зонтичные, Pastinaca clausii (Ledeb.) M. Pimen., Пастернак Клауса
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Umbelliferae, Зонтичные, Physospermum cornubiense (L.) DC., Вздутосемянник корнубийский
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Umbelliferae, Зонтичные, Taeniopetalum arenarium (Waldst. et Kit.) V. Tichomirov, Лентолепестник песчаный
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Umbelliferae, Зонтичные, Trinia kitaibelii Bieb., Триния Китайбеля
Magnoliophyta, Цветковые, Magnoliopsida, Двудольные, Asclepiadaceae, Ластовневые, Vincetoxicum intermedium Taliev, Ластовень промежуточный
